lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
AcademicBenefit,~,DigitalLiteracy,1.1621364184677543,0.9999999999999999,1.6746869770160768,0.693942470692482,0.4877182877092161
VerificationBehavior,~,MisinformationAwareness,2.238643739055291,0.47289104320499287,1.6879207622630985,1.3262730035102348,0.1847492856261772
MisinformationAwareness,~,SocialMediaUse,0.12014784537297285,0.19416239903013222,0.08034652018599392,1.4953708647661104,0.1348176799444234
platform_count,~,SocialMediaUse,1.0,0.11115482844309274,-,-,
frequency_encoded,~,SocialMediaUse,0.15657144779626073,0.017400195372813017,0.12700073855418093,1.2328388761946572,0.21763588380867116
digital_literacy,~,DigitalLiteracy,1.0,0.16398417260101217,-,-,
training_interest,~,TrainingInterest,1.0,0.5244106736900472,-,-,
helps_exam,~,AcademicBenefit,1.0,0.38492212603338055,-,-,
expert_access,~,AcademicBenefit,1.1494656108782608,0.454088456957079,0.48376219441133117,2.376096404711035,0.017496890763574413
enhances_collab,~,AcademicBenefit,2.526371817813797,0.9999999999999999,0.840602330028987,3.005430424780851,0.0026520526167230773
aware_misinfo,~,MisinformationAwareness,1.0,0.3332642981365284,-,-,
active_verify,~,MisinformationAwareness,5.411702483227192,0.7663715099348063,2.053043759073897,2.6359411285347902,0.008390428718883625
checks_source,~,VerificationBehavior,1.0,0.6511992191516021,-,-,
DigitalLiteracy,~~,SocialMediaUse,0.12627553252911153,6.932897412126607,0.04868020803125488,2.593980955164427,0.009487174200266457
DigitalLiteracy,~~,TrainingInterest,-0.04284825342539611,-0.498509941272331,0.03027762247452697,-1.4151789315700012,0.1570160401248506
DigitalLiteracy,~~,DigitalLiteracy,0.026863519073845175,1.0,0.04014296859530947,0.6691961260761085,0.5033703771099336
SocialMediaUse,~~,TrainingInterest,0.10454960858752237,1.793996451827928,0.04858209681620533,2.152019271232776,0.031395836583363534
SocialMediaUse,~~,SocialMediaUse,0.012349403071088332,1.0,0.0362107946816161,0.3410420339937188,0.7330719380198856
AcademicBenefit,~~,TrainingInterest,0.06820067017476882,0.6827665414347821,0.04713650298059636,1.446875900008887,0.14793168406455948
AcademicBenefit,~~,SocialMediaUse,-0.07999731868377875,-3.7793219062396934,0.17592562549913893,-0.454722377461239,0.6493089798726075
AcademicBenefit,~~,AcademicBenefit,0.0,0.0,0.04899067672146065,0.0,1.0
MisinformationAwareness,~~,DigitalLiteracy,-0.006094577494305406,-0.5407397690819038,0.011483535653126473,-0.5307230871979216,0.5956106849048983
MisinformationAwareness,~~,MisinformationAwareness,0.0045504945771745195,0.9623009628028636,0.004513827382264375,1.008123304414806,0.3133952711603374
TrainingInterest,~~,TrainingInterest,0.275014566380012,1.0,0.03422029244398299,8.036593106916351,8.881784197001252e-16
VerificationBehavior,~~,VerificationBehavior,0.08227473477829457,0.7763740612564936,0.011003323964972736,7.47726187402328,7.593925488436071e-14
helps_exam,~~,enhances_collab,-0.04573834401008854,-0.1920785720038826,0.024127293523904927,-1.8957096850865611,0.057998443936527755
helps_exam,~~,expert_access,-0.024933472186892357,-0.10450161226500486,0.017147294992216826,-1.4540761208549575,0.14592520314358204
helps_exam,~~,helps_exam,0.2085868053754705,0.8518349568899423,0.02489408764234891,8.378969671989557,0.0
expert_access,~~,enhances_collab,-0.05544758835567288,-0.23897515219213591,0.022186075749482642,-2.4992066636420214,0.012447169923040624
expert_access,~~,expert_access,0.18454457019826503,0.793803673258339,0.025549989620490144,7.222882393777736,5.089262344881718e-13
aware_misinfo,~~,active_verify,0.002046027263548987,0.020420104748220664,0.018791328281654546,0.10888146025513191,0.9132965117822305
aware_misinfo,~~,aware_misinfo,0.03784774939256356,0.8889349075875671,0.005096708056823342,7.425920606629221,1.1191048088221578e-13
platform_count,~~,frequency_encoded,0.10111597144654853,0.10114482859240383,0.048362051314432435,2.090812293859053,0.036544893627469044
platform_count,~~,platform_count,0.987165560659719,0.9876446041137866,0.07589921050562955,13.00626915708818,0.0
digital_literacy,~~,training_interest,0.023226159277526696,0.0232376151535996,0.04187952174723156,0.5545946636438719,0.5791719398925399
digital_literacy,~~,digital_literacy,0.9721216438518309,0.9731091911363614,0.07606917144697359,12.779443043055876,0.0
active_verify,~~,active_verify,0.09730712846718134,0.41267470876024526,0.09191887894983553,1.0586196174044704,0.28977304903504897
checks_source,~~,checks_source,0.14392778926515343,0.5759395769763436,0.011003323964972783,13.080391862517432,0.0
enhances_collab,~~,enhances_collab,5.71243906321733e-18,2.466890759086668e-17,0.019044853034474365,2.9994660775679995e-16,0.9999999999999998
frequency_encoded,~~,frequency_encoded,0.9996117248729349,0.9996972332009879,0.06839878688678785,14.614465699703935,0.0
training_interest,~~,training_interest,0.7250145663800134,0.7249934453199511,0.034220292443982975,21.186685284634603,0.0
